"Keys","Russian"
"Pizza.Elena.000","911, оператор Елена. Чем могу помочь?"
"Pizza.Elena.001","Пиццу? Марта, я правильно вас услышала?"
"Pizza.Elena.002","Марта, вам что-то угрожает?"
"Pizza.Elena.003","Вы позвонили в экстренную службу..."
"Pizza.Elena.004","Мне нужен адрес."
"Pizza.Elena.005","Мэм, зачем вы звоните? Опишите ситуацию."
"Pizza.Elena.006","Расскажите, в чём дело, Марта."
"Pizza.Elena.007","Передайте трубку вашему сожителю, пожалуйста."
"Pizza.Elena.008","Ваш муж или..."
"Pizza.Elena.009","Мэм! Так зачем вы звоните?"
"Pizza.Elena.010","Джордж, что случилось?"
"Pizza.Elena.011","Медики уже в пути. Что произошло?"
"Pizza.Elena.012","Почему же? Меня зовут Барбара, я оператор круглосуточной пиццерии. Что будете заказывать?"
"Pizza.Elena.013","Меня зовут Елена, и да, я – оператор экстренной службы."
"Pizza.Elena.014","Берони-пицца! Если у вас есть наш купон из газеты, можете показать курьеру при оплате."
"Pizza.Elena.015","Семь-девяносто пять."
"Pizza.Elena.016","Пять-девяносто пять."
"Pizza.Elena.017","Девять-девяносто пять."
"Pizza.Elena.018","Две... Пепперони... Средние... Напитки?"
"Pizza.Elena.019","Ожидайте. Курьер скоро будет у вас."
"Pizza.Elena.020","Это – мой долг."
"Pizza.Elena.021","Всегда хотелось помогать людям. Для этого я и вернулась в Мидлайн."
"Pizza.Elena.022","«Хэндкафф пицца»"
"Pizza.Elena.023","Простите, сэр, я первую неделю на работе, немного путаюсь, ха! Я хотела сказать..."
"Pizza.Elena.024","Марта, это правда? Вас удерживают в доме насильно?"
"Pizza.Elena.025","Не в первый раз Марта звонит в 911, как вы говорите, «без причины»?"
"Pizza.Elena.026","Вы не имеете никакого права удерживать человека против его воли! Немедленно освободите..."
"Pizza.Elena.027","Я верю вам, Джордж."
"Pizza.Elena.028","О чём она говорит, Джордж? Вы отбывали срок за какое-то преступление?"
"Pizza.Elena.029","Что она имеет в виду? Марта, о чём вы говорите?.. Алло?"
"Pizza.Elena.030","Боюсь, я не могу оставить всё, как есть. Скажите адрес, и я вышлю к вам полицейский наряд. Просто чтобы удостовериться..."
"Pizza.Elena.031","«Гетто»?.. Вы в апартаментах на Ромах-роуд, верно?"
"Pizza.Elena.032","Я... Я восприму это, как ложный вызов. Однако хочу получить через час звонок от Марты, что всё хорошо. Если это окажется не так, мы прочешем весь Ромах-роуд."
"Pizza.Elena.033","Что-то случилось?"
"Pizza.Elena.034","Джордж, пойдите мне навстречу, иначе..."
"Pizza.Elena.035","Мы отследим ваш вызов, и..."
"Pizza.Elena.036","Вы заплатите гораздо больше, если откажетесь сотрудничать."
"Pizza.Elena.037","Если думаете, что мы не найдём вас, Марту и Джорджа с Ромах-роуд, вы ошибаетесь. Наверняка отчитывались после уголовного срока. Или заказывали что-нибудь на дом? Пиццу, например?.."
"Pizza.Elena.038","Офицеры уже в пути. Ожидайте."
"Pizza.Elena.039","Мэм, вы на связи? Алло?"
"Pizza.Elena.040","Джордж, что вы сделали с Мартой?"
"Pizza.Elena.041","Проверьте состояние вашей сожительницы."
"Pizza.Elena.042","В чём дело?"
"Pizza.Elena.043","Помощь уже в пути! Ожидайте..."
"Pizza.Elena.044","Вам нужна срочная медицинская помощь. Пусть Марта принесёт аптечку."
"Pizza.Elena.045","Ранение серьёзное?"
"Pizza.Elena.046","Марта, он же умрёт на ваших глазах! Помогите ему! Нам нужно..."
"Pizza.Elena.047","Джордж, не тратьте попусту силы! На кону ваша жизнь!"
"Pizza.Elena.048","Джордж, слышите меня?"
"Pizza.Elena.049","Не теряйте сознания и не подпускайте Марту к себе. Она в состоянии аффекта!"
"Pizza.Elena.050","Джордж?"
"Pizza.Elena.051","Прижечь рану, чтобы остановить кровотечение."
"Pizza.Elena.052","Забинтовать рану! Это быстрее всего."
"Pizza.Elena.053","Зашить рану! Так мы избежим большой кровопотери."
"Pizza.Elena.054","Марта, иглу надо обработать над огнём и аккуратно согнуть!"
"Pizza.Elena.055","Вы сделали всё, что могли, продержитесь ещё немного!"
"Pizza.Elena.056","Промойте раны алкоголем!"
"Pizza.Elena.057","Держите бинт в правой руке и перевязывайте слой за слоем, накладывая друг на друга."
"Pizza.Elena.058","Возьмите любой металлический предмет с неметаллической ручкой: ножницы, нож..."
"Pizza.Elena.059","Нагрейте его на любом источнике открытого огня до тускло-красного оттенка. На газовой плите, например. И вернитесь как можно скорее к Джорджу"
"Pizza.Elena.060","Марта... Успокойте его."
"Pizza.Elena.061","Смело прижигайте рану, за раз, иначе придётся снова нагревать. Чем быстрее, тем лучше!"
"Pizza.Elena.062","У вас есть нашатырный спирт?"
"Pizza.Elena.063","Джордж, назовите адрес."
"Pizza.Elena.064","Какое преступление вы совершили в прошлом, Джордж?"
"Pizza.Elena.065","Я хотела удостовериться, что вы не опасны."
"Pizza.Elena.066","Джордж, мы отошли от темы. Давайте вы просто меня послушаете, и мы покончим с этим?"
"Pizza.Elena.067","Плотнее закройте дверь в свою комнату и оставайтесь на месте. И назовите адрес."
"Pizza.Elena.068","Вы охотно идёте на контакт, мыслите здраво и логично, пытаетесь уладить конфликт..."
"Pizza.Elena.069","«Вы пьяны и уже нарушали закон в прошлом. Чтобы не нагнетать ситуацию, просто предоставьте адрес для полиции»"
"Pizza.Elena.070","Вы мне скажете ваш адрес, приедет полиция, удостоверится, что всё в порядке, и уедет."
"Pizza.Elena.071","Джордж, я вас поняла, но поставьте себя на моё место. В 911 позвонила нетрезвая, напряжённая пара. Имею ли я право не вмешаться?"
"Pizza.Elena.072","Полиция уже в пути! Марта, встретите офицеров?"
"Pizza.Elena.073","Мэм?"
"Pizza.Elena.074","Что случилось?"
"Pizza.Elena.075","Я хочу вам помочь."
"Pizza.Elena.076","Джордж, никакого преступления ещё не случилось, суды и инстанции вам не угрожают. В случае вопросов я смогу предоставить стенограмму."
